콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0200CZS060,17980,S,112,18,2,200,100,6,청통와촌IC-도동JC,0,101
0200CZS070,8510,S,1008,112,2,200,100,5,화산JC-청통와촌,0,101
0200CZS075,2060,S,111,1008,2,200,100,4,북영천IC-화산JC,0,101
0200CZS080,9130,S,682,111,3,200,100,3,임고Hi-북영천IC,0,101
0200CZS085,21660,S,110,682,3,200,100,2,서포항IC-임고Hi,0,101
0200CZS090,9720,S,119,110,2,200,100,1,포항IC-서포항IC,0,101
0201CZE010,7600,E,370,371,2,201,100,1,익산JC-완주IC,0,101
0201CZE020,2700,E,371,545,2,201,100,2,완주IC-완주JC,0,101
0201CZE025,6220,E,545,372,2,201,100,3,완주JC-소양IC,0,101
0201CZE030,26610,E,372,358,2,201,100,4,소양IC-진안IC,0,101
0201CZE040,15790,E,358,352,2,201,100,5,진안IC-장수IC,0,101
0201CZE050,1980,E,352,184,2,201,100,6,장수IC-장수JC,0,101
0201CZS010,7600,S,371,370,2,201,100,6,완주IC-익산JC,0,101
0201CZS020,2700,S,545,371,2,201,100,5,완주JC-완주IC,0,101
0201CZS025,6220,S,372,545,2,201,100,4,소양IC-완주JC,0,101
0201CZS030,26610,S,358,372,2,201,100,3,진안IC-소양IC,0,101
0201CZS040,15790,S,352,358,2,201,100,2,장수IC-진안IC,0,101
0201CZS050,1980,S,184,352,2,201,100,1,장수JC-장수IC,0,101
0251CZE010,10010,E,222,224,2,251,100,1,서순천IC-승주IC,0,101
0251CZE020,11810,E,224,223,2,251,100,2,승주IC-주암IC,0,101
0251CZE030,7420,E,223,226,2,251,100,3,주암IC-석곡IC,0,101
0251CZE040,12070,E,226,196,2,251,100,4,석곡IC-곡성IC,0,101
0251CZE050,11430,E,196,199,2,251,100,5,곡성IC-옥과IC,0,101
0251CZE060,7660,E,199,347,2,251,100,6,옥과IC-대덕JC,0,101
0251CZE070,3800,E,347,198,2,251,100,7,대덕JC-창평IC,0,101
0251CZE080,4120,E,198,197,2,251,100,8,창평IC-고서JC,0,101
0251CZE090,2980,E,197,228,2,251,100,9,고서JC-동광주TG,0,101
0251CZE100,1700,E,228,451,2,251,100,10,동광주TG-문흥JC,0,101
0251CZE110,1210,E,451,218,2,251,100,11,문흥JC-동광주IC,0,101
0251CZE120,2820,E,218,217,2,251,100,12,동광주IC-용봉IC,0,101
0251CZE130,1330,E,217,216,2,251,100,13,용봉IC-서광주IC,0,101
0251CZE140,2250,E,216,219,2,251,100,14,서광주IC-동림IC,0,101
0251CZE150,2390,E,219,452,2,251,100,15,동림IC-산월IC,0,101
0251CZE160,1960,E,452,220,2,251,100,16,산월IC-광산IC,0,101
0251CZE170,2000,E,220,608,2,251,100,17,광산IC-북광산IC,0,101
0251CZE175,3550,E,608,1066,2,251,100,18,북광산IC-남장성JC,0,101
0251CZE180,3150,E,1066,191,2,251,100,19,남장성JC-장성IC,0,101
0251CZE190,5340,E,191,375,2,251,100,20,장성IC-장성JC,0,101
0251CZE200,12060,E,375,202,2,251,100,21,장성JC-백양사IC,0,101
0251CZE210,9190,E,202,175,2,251,100,22,백양사IC-내장산IC,0,101
